title,brand,price,price_raw,rating,reviews,product_id
"Digimark 43"" Smart Wi-Fi TV",Digimark,"From R 2,300",2300,4.6,9,100227499
"Omega 40"" Full HD Non-Smart TV Wide Color Changer HDMI / USB / AV Mode",Omega,"R 2,297",2297,4.7,402,71893770
"40 "" Digimark Smart Android FHD Tv",Digimark,"From R 2,100",2100,5.0,2,100816489
"Supersonic 40"" Full HD Non-Smart LED TV Super Bright/Dynamic Sound",Supersonic,"R 2,297",2297,4.1,10,73302392
"Hisense 43"" A4Q FHD Smart TV with DTS-X & Dolby Audio",Hisense,"From R 3,698",3698,4.7,124,97994173
Lexuco 40'' Smart Led Hd Tv,Lexuco,"R 2,486",2486,3.9,78,94399004
"Supersonic 43"" Full HD Non-Smart Frameless TV HDMI/ USB/ AV Mode",Supersonic,"R 2,597",2597,4.5,25,99699271
Condere - 43'' Frameless HD LED TV,Condere,"R 2,597",2597,4.7,16,96631809
"Supersonic 43"" QLED Frameless Smart Android TV - Netflix - YouTube",Supersonic,"R 2,997",2997,4.4,28,99747956
"JVC 40"" LT-40NQ5165 FHD QLED Smart TV",JVC,"R 2,499",2499,4.1,151,99589287
Lexuco Smart Tv (Lled-FHD-40g),Lexuco,"R 2,850",2850,4.6,28,97588666
"40 "" Digimark Smart Android FHD Tv",,"From R 2,100",2100,2.5,2,100816494
"Hisense 40"" A4Q FHD Smart TV with DTS-X & Dolby Audio",Hisense,"From R 3,498",3498,4.7,163,97998557
40inch Smart Tv,Lexuco,"R 2,677",2677,4.1,58,93972208
"Omega 40"" Frameless HD LED Non-Smart TV Wide Color Enhancer Eco-Friendly",Omega,"R 2,197",2197,3.7,11,98365505
"Supersonic 42"" Full HD Smart TV with Dolby Audio SLM-7501",Supersonic,"R 2,897",2897,4.5,348,71427997
"Digimark 40"" Smart Wi-Fi Android Tv",Digimark,"R 2,698",2698,3.8,33,91303852
"40 "" Digimark Smart Android FHD Tv With hdmi Cable",,"R 2,679",2679,0.0,0,101275739
"43 "" Lexuco FHD Android Tv with Wireless Mouse",Lexuco,"R 3,099",3099,0.0,0,101253562
"TCL 43"" S5K FHD QLED Google Smart TV with HDR10",TCL,"R 3,999",3999,0.0,0,101041822
"43"" Smart Google TV | HDR | Voice Control | Built-in Chromecast",,"R 3,499",3499,0.0,0,100982477
"Digimark 43"" Smart Wi-Fi LED TV",Digimark,"R 2,799",2799,0.0,0,100957231
HISENSE LEDN43Q6Q QLED 60hz 4k Smart 43'',Hisense,"From R 5,659",5659,0.0,0,100932701
Lexuco 40'' Smart LED HD Ready TV With Wireless Mouse,Lexuco,"R 2,498",2498,5.0,2,100816490
"Samsung 43"" U8000F 4K Crystal UHD Smart TV",Samsung,"R 5,990",5990,0.0,0,100760491
Lexuco Smart Frameless 40'' Google TV,Lexuco,"R 2,998",2998,0.0,0,100632819
"Samsung 43"" Full HD Smart TV - UA43F6000FUXXA FHD HDR10+ 50Hz Slim Design",Samsung,"R 5,539",5539,0.0,0,100506567
"Hisense 40"" LEDN40A4Q Full HD Smart TV with Wi-Fi and Dolby Audio",Hisense,"From R 3,898",3898,0.0,0,100290710
"43"" LED Smart TV 4K UHD 43V18 CONDERE",Condere,"R 4,299",4299,0.0,0,100281286
Hisense 43 Inch A6Q UHD Smart LED TV,Hisense,"R 4,504",4504,5.0,1,100233318
Lexuco Smart Frameless 43'' Google TV (LLED-FHD-43G),Lexuco,"R 3,300",3300,0.0,0,100219637
SAMSUNG 43 inch U8000F 4K Crystal UHD Smart TV,Samsung,"From R 5,498",5498,0.0,0,99944781
iSTAR - Android HD Frameless Google Smart TV,istar,"R 3,220",3220,5.0,1,99829714
"Samsung 43"" F6000 FHD Tizen Smart TV with Smart Sound & Knox Security",Samsung,"From R 3,998",3998,4.8,31,99759694
"Volkano 43"" Full HD D-LED Whale OS Smart TV with Dolby Audio",Volkano,"R 3,599",3599,5.0,6,99753492
"Hisense 43"" E6Q 4K UHD Smart TV with HDR & Dolby Digital",Hisense,"R 3,999",3999,4.5,26,99698518
